Stadtteile;Bevölkerung;Unter 18-Jährige; 65-Jährige und Ältere;Ausländerinnen und Ausländer;Bevölkerung mit Migrations-hintergrund;Unter 18-Jährige mit Migrations-hintergrund;Haushalte;Einpersonen-haushalte;Haushalte mit Kindern;Alleinerziehende;Bevölkerungs-dichte;Geburten;Sterbefälle;Zuzüge;Fortzüge;Wanderungssaldo;Sozial-versicherungs-pflichtig Beschäftigte (Juni 2017);Arbeitslose (Dez 2017);Jüngere Arbeitslose (Dez 2017);Ältere Arbeitslose (Dez 2017);Leistungs-empfänger/-innen nach SGB II (Dez 2017);Unter 15-Jährige in Mindestsicherung (Dez 2017);Bedarfs-gemeinschaften nach SGB II (Dez 2017);Lohn- und Einkommen-steuerpflichtige (2013);Gesamtbetrag der Einkünfte je Steuerpflichtigen in EUR (2013);Wohngebäude (2017);Wohnungen (2017);Bezugsfertige Wohnungen (2017);Wohnungen in Ein- und Zweifamilien-häusern (2017);Sozialwohnungen (Jan 2018);Sozialwohnungen mit Bindungsauslauf bis 2023;Preise für Grundstücke in EUR/m² (Jan 2018);Preise für Ein- bzw Zwei-familienhäuser in EUR/m² (Jan 2018);Preise für Eigentums-wohnungen in EUR/m² (Jan 2018);Kindergärten und Vorschulklassen (März 2018);Grundschulen (2017/2018);Schülerinnen und Schüler der Sekundarstufe I (2017/2018);Niedergelassene Ärzte (Jan 2018);Allgemeinärzte (Jan 2018);Zahnärzte (Dez 2017);Apotheken (Dez 2017);Private PKW (Jan 2018);PKW-Dichte (Jan 2018)
Wandsbek; 35 768    ; 4 743    ; 6 550    ; 6 486    ; 12 723    ; 2 885    ; 21 540    ; 13 198    ; 2 774    ;702; 6 018    ;441;332; 5 628    ; 4 535    ; 1 093    ; 15 650    ; 1 217    ;100;212; 3 896    ; 1 119    ; 2 033    ; 17 913    ; 28 567    ; 3 917    ; 19 962    ;62; 2 265    ;901;128;491; 3 715    ;3309;15;5; 1 271    ;63;27;43;9; 11 502    ;322
Marienthal; 13 310    ; 2 010    ; 2 788    ; 1 490    ; 3 524    ;827; 7 114    ; 3 717    ; 1 249    ;234; 4 142    ;146;192; 1 982    ; 1 900    ;82; 5 080    ;410;59;52;567;128;341; 6 621    ; 59 131    ; 2 146    ; 6 605    ;28; 1 582    ;25;1;744; 5 353    ;3618;9;1;553;73;16;14;4; 5 332    ;401
Jenfeld; 26 238    ; 5 146    ; 4 702    ; 6 529    ; 14 940    ; 3 934    ; 12 818    ; 6 180    ; 2 800    ;823; 5 257    ;312;303; 3 483    ; 2 851    ;632; 8 450    ; 1 371    ;130;260; 5 879    ; 1 806    ; 2 708    ; 10 163    ; 23 975    ; 2 669    ; 11 053    ;161; 2 094    ; 1 596    ;443;428; 3 080    ;2859;16;4; 1 669    ;35;15;19;5; 7 589    ;289
Tonndorf; 14 812    ; 2 595    ; 2 694    ; 2 399    ; 5 785    ; 1 526    ; 8 071    ; 4 180    ; 1 592    ;373; 3 758    ;178;143; 1 590    ; 1 536    ;54; 5 930    ;557;50;110; 1 610    ;472;848; 7 211    ; 32 210    ; 2 311    ; 7 430    ;18; 1 778    ;817;74;444; 3 245    ;3100;5;1;763;22;7;10;3; 5 555    ;375
Farmsen-Berne; 34 752    ; 6 090    ; 6 927    ; 4 148    ; 10 704    ; 2 839    ; 17 852    ; 8 517    ; 3 748    ; 1 010    ; 4 224    ;338;392; 3 067    ; 2 824    ;243; 13 762    ; 1 045    ;87;205; 3 618    ; 1 141    ; 1 743    ; 16 784    ; 31 603    ; 6 461    ; 16 881    ;177; 5 733    ; 1 144    ;70;477; 3 281    ;2985;21;6; 1 935    ;41;16;16;5; 13 255    ;381
Bramfeld; 52 342    ; 7 695    ; 11 263    ; 6 333    ; 15 227    ; 3 527    ; 30 001    ; 16 054    ; 4 942    ; 1 440    ; 5 200    ;519;546; 4 833    ; 4 352    ;481; 21 161    ; 1 774    ;175;349; 5 311    ; 1 382    ; 3 019    ; 25 974    ; 30 928    ; 9 075    ; 27 970    ;222; 7 565    ; 1 913    ;385;479; 3 337    ;3200;24;5; 2 311    ;71;31;39;10; 20 565    ;393
Steilshoop; 19 662    ; 3 855    ; 3 884    ; 4 589    ; 10 109    ; 2 782    ; 9 765    ; 4 534    ; 2 189    ;700; 7 870    ;245;160; 1 727    ; 1 528    ;199; 6 546    ; 1 110    ;110;179; 4 669    ; 1 512    ; 2 018    ; 8 598    ; 22 730    ;957; 8 851    ;85;335; 2 891    ;492;441; 3 112    ;2635;12;2; 1 288    ;9;7;8;3; 5 692    ;289
Wellingsbüttel; 10 570    ; 1 940    ; 2 976    ;639; 1 822    ;496; 5 168    ; 2 119    ; 1 152    ;153; 2 587    ;107;143; 1 000    ;875;125; 3 105    ;119;4;32;155;33;103; 5 156    ; 88 606    ; 2 873    ; 5 108    ;43; 2 703    ;22;22;856; 5 196    ;4037;6;1;633;25;7;12;2; 5 269    ;498
Sasel; 23 647    ; 4 513    ; 6 068    ; 1 345    ; 3 880    ; 1 132    ; 11 176    ; 4 102    ; 2 689    ;364; 2 828    ;191;199; 1 642    ; 1 497    ;145; 7 583    ;293;15;69;386;82;229; 10 933    ; 61 360    ; 7 456    ; 10 895    ;106; 7 542    ;36;-    ;560; 3 762    ;3209;12;3; 1 556    ;33;9;12;2; 11 989    ;507
Poppenbüttel; 23 280    ; 3 752    ; 7 698    ; 1 691    ; 4 866    ; 1 332    ; 11 122    ; 4 533    ; 2 263    ;374; 2 872    ;173;514; 2 105    ; 1 386    ;719; 6 953    ;297;16;72;702;198;368; 11 517    ; 52 157    ; 6 182    ; 10 648    ;103; 6 075    ;404;172;525; 3 625    ;3423;10;3; 1 203    ;121;27;44;9; 10 644    ;457
Hummelsbüttel; 17 871    ; 3 129    ; 4 467    ; 2 621    ; 6 268    ; 1 584    ; 8 717    ; 3 717    ; 1 856    ;493; 1 967    ;162;184; 1 885    ; 1 640    ;245; 6 051    ;542;52;106; 1 899    ;532;936; 7 872    ; 38 135    ; 2 780    ; 8 201    ;107; 2 239    ; 1 602    ;671;613; 3 829    ;3332;10;1; 1 026    ;13;8;12;2; 7 196    ;403
Lemsahl-Mellingstedt; 6 980    ; 1 354    ; 1 386    ;636; 1 318    ;371; 2 930    ;863;768;105;872;70;43; 1 020    ;972;48; 2 172    ;73;6;16;135;40;67; 3 126    ; 75 191    ; 2 359    ; 2 772    ;20; 2 484    ;29;29;490; 3 799    ;3444;5;1;426;3;2;1;1; 3 872    ;555
Duvenstedt; 6 221    ; 1 364    ; 1 186    ;469;985;363; 2 623    ;798;770;146;917;53;49;412;442;-30; 2 064    ;79;7;19;262;104;83; 2 738    ; 65 694    ; 1 788    ; 2 528    ;15; 1 832    ;82;-    ;467; 4 167    ;3091;2;1;537;13;5;7;3; 3 193    ;513
Wohldorf-Ohlstedt; 4 585    ;963;970;215;623;204; 2 034    ;628;560;79;265;39;41;345;385;-40; 1 314    ;46;3;12;80;25;41; 2 066    ; 94 234    ; 1 525    ; 1 967    ;45; 1 569    ;-    ;-    ;520; 4 211    ;3689;4;1;351;-    ;-    ;4;1; 2 491    ;543
Bergstedt; 10 836    ; 2 351    ; 2 288    ;969; 1 924    ;653; 4 823    ; 1 849    ; 1 282    ;210; 1 539    ;84;84;943;857;86; 3 501    ;210;25;48;660;221;291; 4 836    ; 51 374    ; 2 850    ; 4 580    ;22; 2 801    ;187;-    ;483; 3 659    ;3239;9;1;757;7;5;5;2; 4 823    ;445
Volksdorf; 20 694    ; 4 182    ; 5 450    ; 1 387    ; 3 383    ; 1 039    ; 9 495    ; 3 578    ; 2 385    ;505; 1 788    ;142;250; 1 628    ; 1 459    ;169; 6 033    ;270;14;59;692;205;355; 9 494    ; 63 763    ; 5 529    ; 9 054    ;47; 5 304    ;668;330;658; 4 322    ;3881;13;4; 1 529    ;87;26;29;5; 9 297    ;449
Rahlstedt; 91 703    ; 16 000    ; 20 428    ; 12 373    ; 29 971    ; 7 797    ; 46 884    ; 21 693    ; 9 542    ; 2 608    ; 3 452    ;939; 1 020    ; 10 440    ; 9 275    ; 1 165    ; 33 466    ; 2 789    ;296;508; 9 515    ; 2 919    ; 4 661    ; 42 075    ; 33 419    ; 15 319    ; 44 157    ;294; 12 600    ; 3 435    ;609;453; 3 441    ;2990;37;12; 5 089    ;153;56;63;15; 35 925    ;392
Lohbrügge; 39 168    ; 6 105    ; 9 323    ; 4 699    ; 15 225    ; 3 467    ; 20 803    ; 10 108    ; 3 794    ; 1 082    ; 3 003    ;325;461; 2 984    ; 3 256    ;-272; 15 308    ; 1 248    ;56;240; 3 882    ; 1 026    ; 2 082    ; 18 234    ; 29 127    ; 5 727    ; 20 082    ;43; 4 445    ; 1 567    ;889;390; 3 000    ;2821;14;4; 1 982    ;48;18;28;7; 14 506    ;370
Bergedorf; 35 669    ; 6 188    ; 7 147    ; 5 325    ; 11 660    ; 2 859    ; 18 117    ; 8 857    ; 3 534    ;956; 3 443    ;382;390; 4 712    ; 4 130    ;582; 13 383    ; 1 225    ;66;187; 3 828    ; 1 084    ; 2 041    ; 15 979    ; 35 049    ; 5 155    ; 16 993    ;179; 4 037    ;716;167;420; 3 169    ;2963;23;7; 1 961    ;150;39;48;11; 12 161    ;341
Curslack; 3 964    ;833;603;702; 1 046    ;349; 1 577    ;544;397;77;375;47;32;590;586;4; 1 502    ;126;9;20;460;171;193; 1 711    ; 41 512    ;954; 1 479    ;26;982;9;4;266;.    ;4037;1;1;256;8;5;-    ;1; 1 812    ;457
Altengamme; 2 246    ;418;439;92;209;64; 1 017    ;337;250;51;144;19;30;164;140;24;888;33;-    ;5;68;22;36; 1 060    ; 47 341    ;643;909;1;698;4;-    ;230; 2 183    ;3209;1;1;137;1;1;-    ;-    ; 1 270    ;565
Neuengamme; 3 705    ;647;766;180;372;105; 1 686    ;576;402;63;199;38;36;295;271;24; 1 495    ;58;3;12;126;40;57; 1 791    ; 40 936    ; 1 051    ; 1 535    ;18; 1 135    ;20;-    ;256; 2 309    ;3423;2;-    ;214;1;1;3;1; 2 032    ;548
Kirchwerder; 9 910    ; 1 712    ; 1 978    ;684; 1 213    ;309; 4 600    ; 1 592    ; 1 073    ;198;307;94;82;892;849;43; 4 114    ;139;15;32;327;99;162; 4 668    ; 39 284    ; 2 810    ; 4 169    ;62; 3 064    ;26;8;243; 2 522    ;3332;7;2;587;6;6;3;2; 5 415    ;546
Ochsenwerder; 2 628    ;454;502;211;391;106; 1 274    ;483;290;50;186;24;21;298;205;93; 1 088    ;45;-    ;9;70;14;41; 1 265    ; 38 634    ;721; 1 111    ;30;756;21;-    ;235; 3 233    ;3444;2;1;150;2;2;-    ;-    ; 1 536    ;584
Reitbrook;506;60;128;41;65;8;263;123;42;4;73;2;9;35;44;-9;202;4;-    ;-    ;7;3;3;242; 37 041    ;147;231;-    ;151;-    ;-    ;223;.    ;3091;-    ;-    ;16;-    ;-    ;2;-    ;283;559
Allermöhe; 1 361    ;206;274;148;297;64;668;267;124;24;158;10;16;195;177;18;566;21;3;6;17;4;12;696; 38 369    ;455;594;5;502;-    ;-    ;226; 2 751    ;3128;2;-    ;77;-    ;-    ;2;-    ;762;560
Billwerder; 3 784    ; 1 170    ;318; 2 651    ; 2 716    ; 1 000    ; 1 312    ;374;499;77;400;70;18; 2 562    ;380; 2 182    ;461;25;3;4; 1 870    ;688;661;643; 30 575    ;383;560;1;406;780;-    ;239;.    ;3319;3;1;213;-    ;-    ;-    ;-    ;569;150
Moorfleet; 1 254    ;210;196;199;327;65;605;275;113;18;287;10;9;164;181;-17;479;45;-    ;13;83;18;51;565; 34 387    ;332;446;1;357;-    ;-    ;218;.    ;3976;-    ;-    ;69;-    ;-    ;-    ;-    ;643;513
Tatenberg;558;101;108;34;65;13;251;88;63;7;182;1;5;28;28;-    ;245;10;-    ;-    ;7;-    ;5;260; 42 598    ;168;227;2;191;-    ;-    ;240;.    ;3309;-    ;-    ;39;-    ;-    ;-    ;-    ;300;538
Spadenland;514;76;116;16;35;7;246;91;46;10;150;3;2;42;35;7;200;7;-    ;5;9;-    ;7;261; 35 255    ;115;212;4;118;-    ;-    ;240;.    ;3618;-    ;-    ;28;-    ;-    ;-    ;-    ;300;584
Neuallermöhe; 23 844    ; 5 517    ; 2 063    ; 4 047    ; 15 363    ; 4 326    ; 9 594    ; 2 889    ; 3 170    ;856; 5 671    ;295;70; 1 683    ; 1 775    ;-92; 9 854    ; 1 022    ;59;136; 4 021    ; 1 356    ; 1 641    ; 9 440    ; 28 633    ; 3 192    ; 9 227    ;158; 2 503    ; 5 019    ;886;288;.    ;2859;7;3; 1 902    ;16;10;9;2; 7 795    ;327
Harburg; 25 860    ; 4 081    ; 2 807    ; 10 238    ; 15 255    ; 3 306    ; 14 607    ; 8 986    ; 2 294    ;694; 6 480    ;377;162; 5 108    ; 5 561    ;-453; 9 910    ; 1 417    ;121;191; 4 689    ; 1 374    ; 2 356    ; 9 499    ; 20 773    ; 1 586    ; 12 799    ;164;284; 1 171    ;239;286; 3 075    ;3265;16;-    ; 1 104    ;178;34;62;12; 4 850    ;188
Neuland und Gut Moor; 1 723    ;408;256;507;718;252;730;296;176;30;171;17;13;239;220;19;586;52;7;8;278;113;91;693; 32 295    ;431;567;1;468;-    ;-    ;484;.    ;3689;-    ;1;135;-    ;-    ;-    ;-    ;706;410
Wilstorf; 17 437    ; 3 059    ; 3 354    ; 4 121    ; 7 740    ; 2 079    ; 9 455    ; 5 003    ; 1 802    ;484; 5 094    ;232;236; 2 013    ; 1 723    ;290; 6 702    ;693;56;110; 2 426    ;772; 1 139    ; 7 823    ; 25 518    ; 2 049    ; 8 689    ;196; 1 452    ;886;515;324; 2 668    ;3072;11;1;837;23;12;5;2; 5 494    ;315
Rönneburg; 3 233    ;612;582;468; 1 040    ;296; 1 519    ;579;366;72; 1 438    ;19;22;291;256;35; 1 271    ;62;7;11;207;71;96; 1 443    ; 38 848    ;776; 1 392    ;3;757;153;147;303;.    ;2405;1;1;208;-    ;-    ;-    ;-    ; 1 435    ;444
Langenbek; 4 037    ;625;924;426; 1 282    ;286; 2 008    ;766;405;108; 5 087    ;32;31;329;293;36; 1 590    ;103;10;26;237;64;127; 1 924    ; 34 231    ; 1 195    ; 1 875    ;12; 1 129    ;352;260;287; 2 704    ;2107;1;-    ;200;-    ;-    ;-    ;1; 1 777    ;440
Sinstorf; 4 102    ;980;648; 1 011    ; 1 768    ;656; 1 761    ;669;472;92; 1 630    ;55;34;878;421;457; 1 387    ;141;19;17;633;237;267; 1 667    ; 33 328    ;880; 1 549    ;85;913;104;-    ;263; 2 708    ;3054;2;1;254;10;3;3;-    ; 1 521    ;371
Marmstorf; 8 863    ; 1 356    ; 2 555    ;972; 2 392    ;581; 4 620    ; 1 981    ;850;180; 1 517    ;66;98;760;692;68; 3 072    ;165;13;37;444;124;225; 4 505    ; 36 313    ; 2 227    ; 4 273    ;2; 2 126    ;110;-    ;325; 2 624    ;2480;3;1;463;7;5;5;2; 3 843    ;434
Eißendorf; 24 540    ; 4 158    ; 5 026    ; 4 321    ; 9 431    ; 2 392    ; 13 064    ; 6 523    ; 2 500    ;641; 2 943    ;275;257; 2 626    ; 2 367    ;259; 9 057    ;844;62;137; 2 607    ;781; 1 293    ; 11 549    ; 32 988    ; 4 296    ; 12 119    ;78; 3 657    ;674;264;348; 2 761    ;2700;8;3; 1 288    ;14;9;8;1; 8 886    ;362
Heimfeld; 22 082    ; 3 810    ; 3 438    ; 5 343    ; 9 851    ; 2 382    ; 12 171    ; 6 785    ; 2 274    ;590; 1 698    ;272;232; 3 103    ; 2 905    ;198; 8 858    ;882;80;116; 2 724    ;784; 1 416    ; 9 595    ; 30 132    ; 2 485    ; 10 567    ;16; 1 539    ; 1 577    ;107;310; 2 698    ;2842;8;2; 1 156    ;27;9;12;3; 6 308    ;286
Moorburg und Altenwerder;746;155;103;68;127;27;386;187;86;27;45;6;7;77;77;-    ;294;21;3;3;63;23;29;361; 34 544    ;226;328;-    ;242;-    ;-    ;229;.    ;4037;1;-    ;47;-    ;-    ;-    ;-    ;373;500
Hausbruch; 16 979    ; 3 212    ; 3 393    ; 2 553    ; 9 051    ; 2 254    ; 7 688    ; 2 876    ; 1 856    ;448; 1 726    ;158;169; 1 237    ; 1 071    ;166; 6 244    ;671;52;131; 2 499    ;756; 1 106    ; 7 349    ; 31 023    ; 2 963    ; 7 199    ;26; 2 701    ; 1 148    ;146;239; 2 722    ;2325;9;1; 1 176    ;16;4;11;2; 6 101    ;359
Neugraben-Fischbek; 29 877    ; 5 884    ; 6 084    ; 5 146    ; 13 747    ; 3 776    ; 13 899    ; 5 510    ; 3 285    ;776; 1 326    ;357;303; 3 268    ; 2 492    ;776; 10 249    ; 1 173    ;106;204; 4 383    ; 1 263    ; 2 114    ; 12 290    ; 31 101    ; 5 757    ; 12 661    ;189; 5 290    ;868;312;263; 2 561    ;2665;14;4; 1 832    ;38;15;20;5; 10 507    ;352
Francop;709;108;127;77;111;12;346;134;68;16;80;3;2;95;56;39;291;8;-    ;-    ;26;6;12;356; 35 782    ;203;341;12;249;-    ;-    ;229;.    ;3309;-    ;-    ;36;1;-    ;-    ;-    ;374;528
Neuenfelde; 4 861    ; 1 026    ;731; 1 495    ; 2 358    ;662; 2 183    ;947;508;107;310;50;27;548;661;-113; 1 714    ;217;21;24;723;254;321; 1 909    ; 32 879    ; 1 037    ; 1 945    ;4; 1 181    ;291;-    ;224; 2 107    ;3618;3;1;348;1;1;3;1; 1 918    ;395
Cranz;840;119;150;228;332;66;500;285;73;18;630;11;9;168;155;13;344;34;3;3;87;22;50;378; 31 335    ;166;398;-    ;143;-    ;-    ;231;.    ;2859;1;1;37;2;2;-    ;-    ;354;421
